job_id,skill_id
0
0,1
66,1
76
76,1
81,1
106,1
116
116,2
134
139,3
139,1
145,4
148
148,5
148,1
167
167,6
167,1
177,2
177,1
205
205,7
205,186
205,8
217,9
217,1
217,11
217
220,1
220,4
220
220,12
248,1
248,4
248,2
276
284
284,1
284,13
284,14
284,3
359,6
359,1
411,2
411
411,1
411,9
436,1
477,1
477,15
484,1
484,5
484
490
490,16
490,1
491
491,1
492,1
524,1
524
534,8
534,16
534,1
534
554,14
554,17
593
609
669,1
685,1
691
691,1
705,4
707,1
707,4
707,3
715
715,1
763,4
763,1
763,2
787,1
787,5
804,1
804
804,3
804,4
804,2
804,18
804,62
804,6
811,4
811,3
811,1
811,8
811,19
811
811,2
836
836,1
868
868,1
868,5
870
870,2
870,1
886,7
886,186
886
886,1
931,1
931
964
1007
1007,5
1007,1
1061,1
1061
1061,2
1061,12
1098
1098,6
1098,21
1098,22
1098,2
1098,18
1098,62
1107,1
1107
1160,1
1175
1183
1183,5
1183,1
1211,1
1211
1211,8
1276
1317,1
1337
1348
1348,1
1356,7
1356,186
1357,1
1357
1357,22
1413
1413,3
1413,1
1413,2
1427,1
1462
1552
1552,1
1577,1
1594,4
1594,1
1594
1607
1607,1
1607,5
1609,1
1609
1613,1
1613
1623,1
1636,1
1646
1646,23
1654,14
1654,13
1654,4
1654,1
1675,1
1675,3
1675,4
1723,1
1723,21
1723,5
1750
1762
1777,5
1777,1
1783,1
1783,2
1783,24
1785
1785,1
1785,9
1785,12
1785,5
1785,1
1785,25
1788
1788,1
1788,5
1809,1
1828,1
1828
1828,2
1851,1
1878,26
1878,1
1878,4
1878
1883,1
1883
1900,1
1900,5
1900
1902,1
1902,6
1904
1937,1
1937
1959
1960,9
1960,17
1960,11
1970,1
1984
1985
1985,2
1985,12
1985,1
2000,1
2000,7
2000,186
2000
2000,5
2062
2062,24
2062,1
2089,1
2089
2089,8
2142,1
2142,3
2142,5
2152,1
2152
2280,1
2280,4
2281,4
2281,1
2281,3
2281
2293,1
2293
2293,26
2293,3
2293,4
2296,26
2296,13
2296,1
2301
2320,26
2320,13
2326,1
2326,5
2326
2326,7
2326,186
2331
2377,8
2377
2377,1
2414
2414,1
2514
2523,13
2523,1
2523,27
2523,8
2523,9
2523,14
2530,3
2530,2
2562
2562,1
2562,28
2568,1
2570,1
2570
2594,1
2594
2594,2
2604
2604,1
2629,1
2629,5
2629,26
2629,13
2629
2629,18
2629,62
2645,1
2645,3
2645,2
2651,1
2700,22
2700,1
2700
2728,1
2728
2728,2
2835,1
2835,29
2835,5
2850
2850,1
2850,5
2850,15
2866,7
2866,186
2866
2866,1
2866,14
2866,18
2866,62
2866,28
2878,1
2878
2878,16
2905,1
2905,3
2905,144
2911,3
2911,2
2911,18
2911,62
2911,24
2911,4
2911,1
2911,31
2911,9
2911,6
2911
2915
2915,1
2915,5
2923
2923,1
2923,5
2928,1
2928,4
2928,3
2935,3
2935
2935,1
2935,3
2935,144
2935,8
2942
2954,1
2954
3019,1
3019,5
3019,15
3019
3019,2
3049
3142,2
3142,24
3142,1
3196
3213,1
3213,5
3213
3273,26
3273,22
3273
3282
3282,1
3282,31
3290,7
3290,186
3290,5
3336
3336,1
3336,5
3336,4
3386
3386,5
3386,1
3386,7
3386,186
3400,1
3400,4
3400,3
3400,5
3400,7
3400,186
3402
3402,1
3402,5
3402,3
3402,2
3402,4
3402,8
3423,3
3451
3451,1
3465,1
3474,1
3474
3492,7
3492,186
3492
3492,1
3498
3510
3510,1
3540
3569
3569,1
3578
3578,12
3632
3632,1
3748,1
3799,1
3825
3825,1
3825,5
3865,1
3868,1
3868
3885,32
3942,6
3942,16
3942
3978
3978,2
3978,4
3978,27
3993
3993,5
3993,1
4029
4029,4
4029,5
4038,32
4038,2
4038,1
4123,1
4123
4146,8
4146,27
4146,4
4176,8
4195
4240
4240,1
4240,3
4240,14
4240,5
4283
4300,1
4300,12
4300,31
4331,14
4331,1
4331,11
4364
4375,1
4388
4451,26
4451
4451,1
4451,4
4451,3
4454,1
4454,5
4454,7
4454,186
4461,1
4461
4461,2
4462
4464
4469,5
4469,26
4472
4472,29
4483,1
4483
4544,1
4544
4544,2
4550,4
4550,1
4554,16
4554
4554,7
4554,186
4621,1
4621,5
4621
4621,26
4650,3
4650,1
4650,4
4668,8
4668
4730
4730,2
4730,18
4730,62
4734
4734,1
4753,1
4768
4768,23
4768,4
4768,25
4768,33
4768,14
4768,34
4768,1
4797,1
4797,8
4807
4807,1
4807,5
4836,1
4859
4859,4
4859,1
4876
4951
4951,7
4951,186
4951,23
4951,1
4951,5
4967
4967,5
4967,1
4974,1
4974,5
4974
4974,7
4974,186
5006,14
5006
5020,1
5020,6
5027,7
5027,186
5027,15
5030
5030,1
5030,8
5042,5
5050,1
5068,1
5155,5
5187,1
5196
5217
5217,1
5217,5
5299
5309,5
5309,1
5402,1
5402,4
5402,3
5402
5429
5485
5485,5
5485,7
5485,186
5485,1
5485,4
5488,26
5532,1
5532,4
5532,3
5532
5532,2
5532,18
5532,62
5602,4
5602,13
5602,3
5602
5602,1
5620,1
5620,5
5620,3
5620
5635,1
5635
5646,1
5646
5699,1
5699,35
5701
5701,1
5701,4
5783,3
5783,1
5783,5
5783
5783,15
5796
5796,1
5796,4
5815
5815,7
5815,186
5815,16
5888
5888,1
5888,4
5888,3
5888,144
5898,1
5898,5
5898
5898,12
5920,1
5920
5943,1
5973
5975,16
5975
5987
5987,1
5987,5
5987,15
5999
6018,1
6018,5
6036,3
6036,1
6036,4
6066
6075,1
6075,5
6075
6129
6129,6
6129,4
6129,1
6129,3
6156,1
6156
6160
6160,1
6160,4
6160,6
6204,1
6218,1
6226,1
6226
6226,8
6238,1
6246,3
6246,4
6246,1
6246
6295
6308
6308,1
6327
6327,1
6333,1
6336
6336,1
6360,1
6360
6361
6406,1
6406,3
6417,3
6419,5
6419,1
6419,7
6419,186
6443,12
6443,1
6443,4
6479,7
6479,186
6479,1
6479
6483
6483,1
6491,1
6518,1
6518
6612
6612,22
6616
6616,1
6721,1
6727
6727,1
6741,1
6741,5
6741
6803,8
6803,1
6810,1
6810
6810,4
6810,12
6810,6
6813
6813,1
6813,28
6827
6827,2
6827,18
6827,62
6877,1
6877,5
6877
6944
6944,1
6966,2
6966,1
6966,4
6966,3
6966,5
6966
6966,16
6975,1
6975
7013,1
7013
7040
7040,1
7046
7049
7055
7057
7057,1
7057,5
7057,4
7057,13
7091,1
7104,8
7113
7113,1
7120
7120,1
7154,1
7154,3
7154
7162
7171,9
7171,3
7171,144
7171,1
7201,23
7201
7204,1
7204,5
7204,22
7204
7204,4
7224,1
7224
7224,4
7224,12
7224,6
7281,1
7281,22
7340,8
7340,1
7389,1
7402
7402,2
7402,1
7402,5
7402,4
7402,13
7402,3
7435,8
7533,2
7533
7551
7551,5
7551,1
7551,3
7551,4
7551,13
7551,7
7551,186
7554
7554,8
7565
7569,1
7573
7573,1
7573,8
7585,4
7585,1
7585,3
7585
7611,17
7611,1
7614,1
7614,5
7616,1
7616,4
7616,9
7616,25
7616,3
7616,144
7616,5
7616
7616,18
7616,62
7618
7675
7696,1
7782
7782,26
7806
7809
7809,1
7809,5
7821,1
7904
7939,4
7939,3
7939,1
7939,2
7939
7939,24
7939,6
7953
7953,2
7953,8
7964,1
7964
7964,3
7964,4
8027,6
8027
8027,1
8027,3
8027,4
8109,1
8109,5
8129,1
8129
8149,9
8149,6
8149,1
8149,4
8165,1
8165,4
8180,5
8180,7
8180,186
8180,15
8180
8180,1
8180,4
8189,1
8189
8189,3
8189,5
8247
8247,5
8247,1
8247,14
8247,9
8256,1
8261
8261,1
8285
8285,1
8318
8318,1
8348,7
8348,186
8348
8348,5
8352
8352,1
8352,4
8352,3
8358,1
8393,1
8393
8393,4
8401
8401,1
8402
8402,5
8402,1
8403,4
8403,3
8403,1
8403,8
8403
8470
8470,1
8494
8518
8542,26
8542
8587,8
8587
8618,1
8618
8642,16
8642
8642,1
8645
8659
8659,1
8715,1
8757
8757,1
8765,5
8765,7
8765,186
8765,1
8765,15
8765
8769,1
8769,5
8769
8771
8771,1
8771,5
8771,7
8771,186
8771,6
8771,8
8779,4
8779,3
8779,1
8779,2
8779
8779,24
8779,6
8903,8
8903
8903,1
8958,1
8958
8958,26
8962,1
8962
8962,6
8974,16
8974,1
8974
8989,5
8989,6
8989,31
8989,1
8989,25
9004,8
9004
9004,5
9004,1
9025,11
9092,1
9092,3
9193,3
9193,144
9193,26
9193,18
9193,62
9198
9198,2
9198,14
9198,4
9198,1
9219
9219,1
9219,9
9240,1
9240,5
9257,1
9257,5
9257
9257,2
9257,9
9262
9262,1
9262,5
9359,36
9359,5
9359,1
9359,7
9359,186
9359,15
9359,8
9359,14
9359,4
9403,8
9403
9412
9412,4
9412,26
9412,13
9412,5
9412,1
9435,5
9435,1
9435,7
9435,186
9440
9440,1
9440,5
9440,4
9444,8
9503,1
9558,3
9558,1
9558,4
9642
9642,4
9654
9654,1
9654,5
9688,1
9688,4
9715
9715,7
9715,186
9777,1
9777
9777,9
9801
9801,1
9807
9854
9854,1
9854,2
9856
9856,1
9883
10022
10022,1
10022,4
10022,6
10031
10031,1
10041,1
10096
10096,1
10096,5
10121
10128,1
10133
10135,1
10135,2
10135,1
10135,11
10135,9
10135,4
10135,14
10189
10197
10197,1
10197,5
10204
10204,1
10204,5
10210
10210,3
10210,4
10216
10216,1
10259,1
10259
10259,5
10259,4
10259,15
10276
10276,1
10276,4
10276,3
10276,17
10276,2
10300
10300,1
10300,5
10339,1
10352
10352,2
10352,1
10361,1
10361
10402,1
10436,1
10436,4
10436,3
10436
10436,2
10436,18
10436,62
10453,1
10453
10467,1
10467,4
10467,3
10486
10490,1
10490
10549,5
10549,1
10588,1
10588
10604
10604,1
10659
10716,1
10716
10718
10718,1
10718,4
10718,26
10746,1
10842,2
10842,6
10842
10842,3
10842,4
10842,1
10870
10877
10877,5
10877,1
10877,2
10900
10900,6
10900,28
10909
10914,7
10914,186
10914,5
10914
10919,1
10919,4
10919,5
10919,29
10919,15
10919,3
10919
10919,18
10919,62
10919,14
10919,9
10929,8
10974,1
10974
10974,5
11007,3
11007,1
11007
11007,8
11040,22
11040
11046
11088
11088,2
11088,6
11090
11122
11122,1
11134,5
11134,1
11214
11214,1
11214,3
11214,4
11214,21
11232,1
11232,5
11232,4
11232,9
11232
11232,18
11232,62
11254,1
11254,3
11254,4
11262
11315
11315,1
11315,5
11315,9
11326,37
11326,1
11326,5
11326,7
11326,186
11326
11358,21
11359,8
11359,1
11359,6
11359
11373,1
11373
11373,7
11373,186
11373,6
11373,8
11419
11465
11476
11476,1
11477,6
11477,1
11477
11477,38
11519
11519,1
11525,7
11525,186
11538,8
11538,5
11538,1
11538,38
11543,8
11543
11543,5
11543,7
11543,186
11543,1
11580
11596,1
11596,4
11596,3
11596,26
11625,1
11634,9
11680
11680,1
11680,5
11710
11710,18
11710,62
11710,1
11710,5
11719
11719,8
11831
11831,1
11831,5
11853,1
11853,18
11853,62
11853,28
11895
11895,1
11925
11925,1
11925,5
11936,13
11936,4
11936,1
11936,2
11936,18
11936,62
11936,6
11936
11936,3
11984
11996,1
11996,5
11996
12000,1
12000,4
12000,3
12000,2
12000,18
12000,62
12002,1
12002
12002,5
12002,9
12014,2
12014,6
12014
12014,18
12014,62
12039,3
12039,144
12039,4
12068
12068,1
12068,4
12068,3
12080,1
12080,3
12080,5
12087
12094,5
12094,1
12094
12122
12137,5
12137,1
12162,4
12162,1
12162
12162,6
12174
12174,1
12174,4
12179,1
12224
12224,7
12224,186
12249,1
12249,5
12275,1
12285
12285,1
12297
12312,1
12312,13
12312,29
12312,8
12312,5
12386
12386,2
12386,1
12386,3
12386,4
12391,1
12391,25
12391,9
12391,18
12391,62
12436,1
12436
12460,1
12460,3
12460,4
12460
12471
12474,1
12474,4
12474,3
12474,8
12506,1
12506
12528,1
12544,1
12544
12546
12546,1
12546,5
12546,8
12590,1
12600,1
12600
12621
12621,1
12621,5
12646,1
12646
12646,5
12646,7
12646,186
12727,1
12727
12733,1
12733
12744
12744,1
12750,4
12750,3
12750,1
12766,5
12766,4
12766,14
12766,13
12766,8
12768,4
12805
12805,5
12805,1
12819,1
12819
12819,2
12824,5
12824,1
12824,3
12824
12824,6
12824,2
12824,18
12824,62
12833
12853,5
12853,1
12853,4
12853,13
12853,15
12853,22
12853
12952,1
12952,9
12952,1
12952,11
12971
12971,1
12971,4
12971,3
12971,26
13030
13030,5
13030,1
13068
13068,2
13068,1
13068,4
13068,3
13101,4
13101,1
13157
13193,9
13195,1
13195,5
13195,15
13195
13197,4
13197,1
13242
13242,2
13242,1
13368,1
13368,5
13368
13368,7
13368,186
13409,4
13409,1
13409
13429,1
13486,1
13486,5
13486
13492,1
13500,1
13500,6
13500
13517,1
13595
13595,1
13617,1
13617,39
13617,8
13617,31
13622,4
13622,3
13622,12
13622
13622,1
13653,1
13653,4
13655
13655,1
13655,3
13655,144
13655,4
13735
13761,5
13761,3
13761,1
13761
13765
13767,26
13767,8
13805
13808,1
13808,5
13808,4
13808,9
13808,13
13808
13808,2
13825,1
13825,4
13825
13825,2
13910,4
13910,1
13910
13923,1
13923
13942,1
13942,4
13942
13949,3
13949
13949,1
13949,5
13949,8
13967,4
13967,1
13967
14026
14027
14027,1
14032,1
14032,4
14032
14038
14050,1
14050,4
14050,26
14050,6
14152
14152,21
14152,7
14152,186
14166,1
14166
14198
14198,1
14198,5
14198,25
14232,1
14235
14235,1
14244,1
14244
14246
14246,1
14246,5
14252,7
14252,186
14252,5
14252
14255
14274,1
14274,4
14274,3
14274
14274,2
14274,24
14274,6
14275
14275,1
14275,5
14275,7
14275,186
14275,15
14302,2
14302
14302,1
14302,5
14302,7
14302,186
14302,15
14351,7
14351,186
14351,1
14359,1
14409,4
14409,1
14409,3
14461
